product,heinemann_price,currency,cheapest_store,cheapest_price
P RABANNE 1M PARFUM 100ML EDP 65156001,19.99,EUR,Heinemann,19.99
P RABANNE 1M ELIXIR 22 PARF INTENSE 100ML 65177273,19.99,EUR,Heinemann,19.99
P RABANNE 1M GOLD ELIXIR 100ML 65215777,19.99,EUR,Heinemann,19.99
PACO RABANNE INVICTUS EDT 100ML 65055742,19.99,EUR,Heinemann,19.99
PACO FOR MEN EDT 100ML 665183676/65084778/8081313A,4.29,EUR,Heinemann,4.29
RABANNE PACO ROSE EDT 100ML 65247801,19.99,EUR,Heinemann,19.99
P RABANNE PURE XS EDT 100ML 65150138/65115941,19.99,EUR,Heinemann,19.99
C HERRERA 212 MENS EDT 100ML SPRAY 65183412/65114527,114.99,EUR,Heinemann,114.99
CAROLINA HERRERA 212 VIP BLACK EDP 100ML 65116796,99.99,EUR,Heinemann,99.99
C HERRERA 212 SEXY EDP 100ML SPRAY65056068,49.99,EUR,Heinemann,49.99
